Cant_Comp		Comp_Res		Frec_Comp		Lug_Comp		Unid_Comp		Estrato
0.5	,	SI	,	Semanal	,	Supermercado	,	Kg	,	3
0.5	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	4
	,	NO	,		,		,		,	2
2	,	SI	,	Semanal	,	Brasil	,	Kg	,	4
4	,	SI	,	Mensual	,	Supermercado	,	Kg	,	3
1	,	SI	,	Semanal	,	Brasil	,	Kg	,	3
1	,	SI	,	Quincenal	,	Plaza_Mercado	,	Kg	,	3
1.5	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	3
1	,	SI	,	Mensual	,	Brasil	,	Kg	,	3
	,	NO	,		,		,		,	2
1	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	2
0.5	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	2
3	,	SI	,	Mensual	,	Supermercado	,	Kg	,	3
2	,	SI	,	Quincenal	,	Plaza_Mercado	,	kg	,	2
2	,	SI	,	Semanal	,	Tienda_Barrio	,	Kg	,	4
2	,	SI	,	Semanal	,	Brasil	,	kg	,	2
2	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	2
1	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	1
1	,	SI	,	Semanal	,	Brasil	,	kg	,	2
2	,	SI	,	Quincenal	,	Plaza_Mercado	,	Kg	,	2
1	,	SI	,	Quincenal	,	Brasil	,	Kg	,	1
1	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	2
2	,	SI	,	Semanal	,	Brasil	,	Kg	,	3
1	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	2
1	,	SI	,	Semanal	,	Brasil	,	Kg	,	2
0.5	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	2
1	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	2
1	,	SI	,	Semanal	,	Brasil	,	Kg	,	1
	,	NO	,		,		,		,	2
0.5	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	2
1	,	SI	,	Semanal	,	Brasil	,	Kg	,	2
0.2	,	SI	,	Diario	,	Plaza_Mercado	,	Kg	,	2
3	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	2
2	,	SI	,	Semanal	,	Brasil	,	kg	,	2
	,	NO	,		,		,		,	2
0.6	,	SI	,	Mensual	,	Plaza_Mercado	,	Kg	,	3
1	,	SI	,	Semanal	,	Supermercado	,	Kg	,	3
0.5	,	SI	,	Quincenal	,	Supermercado	,	Kg	,	4
1	,	SI	,	Mensual	,	Brasil	,	kg	,	2
1.5	,	SI	,	Quincenal	,	Plaza_Mercado	,	Kg	,	3
1	,	SI	,	Quincenal	,	Brasil	,	kg	,	1
1	,	SI	,	Quincenal	,	Brasil	,	kg	,	1
	,	NO	,		,		,		,	1
